timestamp,ringer,day,time,lat,long,loc_provider,activity_confidence,light,distance,wifi_count,charging,bt_count,activity_vehicle,activity_bike,activity_foot,activity_still,activity_unknown,activity_tilting
1394532988,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,10,1,1,0,0,0,1,0,0
1394532989,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394532990,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394532991,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394532992,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394532993,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394532994,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394532995,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394532996,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394532997,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394532998,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394532999,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533000,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533001,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533002,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533003,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533004,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533005,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533006,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533007,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533008,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533009,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533010,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533011,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533012,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533013,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533014,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533015,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533016,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533017,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533019,0,1,376,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533047,0,1,377,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533107,0,1,378,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533166,0,1,379,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533191,0,1,379,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533227,0,1,380,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533285,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533287,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533289,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533290,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533291,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533294,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533295,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533296,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533297,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533298,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533299,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533300,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533301,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533302,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533303,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533304,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533305,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533306,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533307,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533308,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533309,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533310,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533311,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533312,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533313,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533314,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533315,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533316,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533317,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533318,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533319,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533320,0,1,381,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533321,0,1,382,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533322,0,1,382,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533323,0,1,382,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533348,0,1,382,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533409,0,1,383,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533411,0,1,383,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533470,0,1,384,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533530,0,1,385,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533585,0,1,386,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
1394533586,0,1,386,43.70584383,-72.29272071,1,100,0.0,5.0,7,1,1,0,0,0,1,0,0
